Year,Faculty,Count,latitude,longitude,Floor,Building (THA),Building(ENG),Note
2021.0,Faculty of Psychology,8,13.7441638489595,100.528591949775,,อาคารบรมราชชนนีศรีศตพรรษ,,
2021.0,Faculty of Political Science,3,13.734620930443,100.533271857985,,,,
2022.0,Sasin Graduate Institute of Business Administration,17,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2021.0,Transportation Institute,3,13.7344189074301,100.532288859698,6,อาคารประชาธิปก-รำไพพรรณี,,
2020.0,School of Agricultural Resources,4,13.7441903809106,100.525002596294,8,อาคารจุฬาพัฒน์ 13,,
2020.0,Center of Excellence on Hazardous Substance Management,5,13.7426340257946,100.526731148469,8,อาคารวิจัยจุฬาลงกรณ์มหาวิทยาลัย,,
2020.0,Faculty of Dentistry,34,13.7432910733746,100.534803502036,,,,
2018.0,College of Public Health Sciences,34,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2021.0,Faculty of Pharmaceutical Science,93,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2022.0,Faculty of Economics,8,13.7343413769765,100.531582130021,,,,
2022.0,Faculty of Political Science,1,13.734620930443,100.533271857985,,,,
2023.0,Faculty of Nursing,7,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2023.0,Faculty of Dentistry,68,13.7432910733746,100.534803502036,,,,
2019.0,Center of Excellence on Hazardous Substance Management,2,13.7426340257946,100.526731148469,8,อาคารวิจัยจุฬาลงกรณ์มหาวิทยาลัย,,
2021.0,Faculty of Education,12,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2019.0,Faculty of Psychology,3,13.7441638489595,100.528591949775,,อาคารบรมราชชนนีศรีศตพรรษ,,
2018.0,Faculty of Fine and Applied Arts,1,13.7394248238452,100.532901787684,,,,
2018.0,Faculty of Medicine,162,13.733107784599,100.535680734646,,,,
2019.0,Faculty of Veterinary Science,72,13.7423987521227,100.534840162273,,,,
2022.0,Faculty of Communication Arts,1,13.7360805298074,100.528745122165,,อาคารสมมติวงศ์***,,
2023.0,Faculty of Medicine,169,13.733107784599,100.535680734646,,,,
2023.0,Center of Excellence on Hazardous Substance Management,2,13.7426340257946,100.526731148469,8,อาคารวิจัยจุฬาลงกรณ์มหาวิทยาลัย,,
2021.0,Faculty of Commerce and Accountancy,10,13.7340942999999,100.530085531785,,,,
2022.0,Faculty of Medicine,324,13.733107784599,100.535680734646,,,,
2022.0,School of Agricultural Resources,1,13.7441903809106,100.525002596294,8,อาคารจุฬาพัฒน์ 13,,
2019.0,Faculty of Education,2,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2023.0,Faculty of Communication Arts,3,13.7360805298074,100.528745122165,,อาคารสมมติวงศ์***,,
2023.0,Graduate School,52,13.7425637741225,100.528042072994,,,,
2022.0,Graduate School,115,13.7425637741225,100.528042072994,,,,
2022.0,Transportation Institute,1,13.7344189074301,100.532288859698,6,อาคารประชาธิปก-รำไพพรรณี,,
2023.0,Faculty of Political Science,4,13.734620930443,100.533271857985,,,,
2022.0,Faculty of Veterinary Science,107,13.7423987521227,100.534840162273,,,,
2018.0,Faculty of Veterinary Science,72,13.7423987521227,100.534840162273,,,,
2020.0,Faculty of Arts,3,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2023.0,Transportation Institute,7,13.7344189074301,100.532288859698,6,อาคารประชาธิปก-รำไพพรรณี,,
2023.0,Faculty of Fine and Applied Arts,1,13.7394248238452,100.532901787684,,,,
2022.0,Faculty of Nursing,11,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2022.0,Faculty of Architecture,7,13.7397366012632,100.530828865234,,,,
2020.0,College of Population Studies,3,13.7343796080462,100.53262681302,,,,PGMM+Q32
2023.0,Energy Research Institute,3,13.7427886282919,100.532583269484,12,อาคารสถาบัน 3,Institute Building III,
2020.0,Faculty of Commerce and Accountancy,19,13.7340942999999,100.530085531785,,,,
2018.0,Energy Research Institute,1,13.7427886282919,100.532583269484,12,อาคารสถาบัน 3,Institute Building III,
2018.0,Faculty of Nursing,5,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2018.0,Institute of Asian Studies,2,13.7347176765865,100.532139861951,,อาคารประชาธิปก-รำไพพรรณี,Prajadhipok-Rabhai Barni Building,
2019.0,Institute of Asian Studies,4,13.7347176765865,100.532139861951,,อาคารประชาธิปก-รำไพพรรณี,Prajadhipok-Rabhai Barni Building,
2023.0,College of Population Studies,9,13.7343796080462,100.53262681302,,,,PGMM+Q32
2019.0,Faculty of Architecture,1,13.7397366012632,100.530828865234,,,,
2020.0,Faculty of Allied Health Sciences,30,13.7432386416622,100.528291986714,,อาคารจุฬาพัฒน์ 2,,
2022.0,Faculty of Engineering,219,13.7367819358887,100.533139461155,,,,
2020.0,College of Public Health Sciences,19,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2021.0,Faculty of Sports Science,6,13.7434403525799,100.527069815715,,,,
2021.0,Faculty of Law,1,13.7352584268874,100.528755839528,,,,
2021.0,Faculty of Medicine,265,13.733107784599,100.535680734646,,,,
