Year,Faculty,Count,latitude,longitude,Floor,Building (THA),Building(ENG),Note
2023.0,Faculty of Science,260,13.7373189810975,100.53086597618,,,,
2022.0,Faculty of Law,1,13.7352584268874,100.528755839528,,,,
2023.0,Faculty of Engineering,180,13.7367819358887,100.533139461155,,,,
2023.0,Faculty of Commerce and Accountancy,13,13.7340942999999,100.530085531785,,,,
2019.0,Energy Research Institute,2,13.7427886282919,100.532583269484,12,อาคารสถาบัน 3,Institute Building III,
2020.0,Faculty of Political Science,2,13.734620930443,100.533271857985,,,,
2023.0,Sasin Graduate Institute of Business Administration,16,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2022.0,Faculty of Allied Health Sciences,39,13.7432386416622,100.528291986714,,อาคารจุฬาพัฒน์ 2,,
2022.0,Faculty of Arts,3,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2018.0,Faculty of Education,4,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2021.0,Faculty of Dentistry,57,13.7432910733746,100.534803502036,,,,
2021.0,The Petroleum and Petrochemical College,37,13.7429890937451,100.526725199706,,,,
2020.0,Graduate School,78,13.7425637741225,100.528042072994,,,,
2019.0,Faculty of Medicine,185,13.733107784599,100.535680734646,,,,
2022.0,The Petroleum and Petrochemical College,46,13.7429890937451,100.526725199706,,,,
2022.0,Social Research Institute,4,13.7342123106929,100.532668397386,"4, 5",อาคารเกษม อุทยานิน,,
2021.0,Faculty of Veterinary Science,99,13.7423987521227,100.534840162273,,,,
