Year,วิทยาลัยประชากรศาสตร์,วิทยาลัยวิทยาศาสตร์สาธารณสุข,คณะสหเวชศาสตร์,คณะสถาปัตยกรรมศาสตร์,คณะอักษรศาสตร์,คณะพาณิชยศาสตร์และการบัญชี,คณะนิเทศศาสตร์,คณะทันตแพทยศาสตร์,คณะเศรษฐศาสตร์,คณะครุศาสตร์,คณะวิศวกรรมศาสตร์,คณะศิลปกรรมศาสตร์,คณะนิติศาสตร์,คณะแพทยศาสตร์,คณะพยาบาลศาสตร์,คณะเภสัชศาสตร์,คณะรัฐศาสตร์,คณะจิตวิทยา,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์การกีฬา,คณะสัตวแพทยศาสตร์,บัณฑิตวิทยาลัย,วิทยานิพนธ์และสารนิพนธ์ใหม่ จากระบบบริหารจัดการวิทยานิพนธ์ (CU iThesis),สถาบันเอเชียศึกษา,สถาบันเทคโนโลยีชีวภาพและวิศวกรรมพันธุศาสตร์,สถาบันไทยศึกษา,สถาบันภาษา,สำนักงานวิทยทรัพยากร (หอสมุดกลาง),วิทยาลัยปิโตรเลียมและปิโตรเคมี,สถาบันบัณฑิตบริหารธุรกิจศศินทร์
2015,14,41,29,83,97,47,61,29,33,267,409,47,85,118,105,60,37,51,449,44,45,140,0,0,11,0,1,5,85,0
2016,6,47,20,114,89,29,33,40,31,241,371,42,76,133,106,55,29,69,418,38,35,134,0,1,4,0,1,1,5,0
2017,6,55,19,81,74,28,43,38,32,198,297,57,101,134,89,44,37,25,374,42,37,92,0,1,0,0,0,1,24,0
